R1,R2,G1,G2,B1,B2,H1,H2,S1,S2,V1,V2,diff_R,diff_G,diff_B,diff_H,diff_S,diff_V,ratio_R,ratio_G,ratio_B,ratio_H,ratio_S,ratio_V,layer_count
230,238,105,127,49,48,0.0515653775322283,0.069298245614035,0.7869565217391304,0.7983193277310925,0.9019607843137256,0.9333333333333332,-8,-22,1,-0.0177328680818067,-0.011362805991962044,-0.03137254901960762,0.9663865545812442,0.826771653478207,1.0208333331206596,0.7441078722014,0.9857665780409924,0.9663865442677074,4
232,238,109,129,49,46,0.0546448087431694,0.0720486111111111,0.7887931034482759,0.8067226890756303,0.9098039215686274,0.9333333333333332,-6,-20,3,-0.017403802367941708,-0.01792958562735436,-0.0235294117647058,0.974789915925429,0.8449612402445766,1.065217391072779,0.7584435052393009,0.9777747723624255,0.974789905522209,4
235,241,112,131,44,46,0.0593368237347295,0.0726495726495726,0.8127659574468086,0.8091286307053942,0.9215686274509804,0.9450980392156862,-6,-19,-2,-0.013312748914843096,0.0036373267414143706,-0.0235294117647058,0.9751037343993733,0.8549618319958043,0.9565217389224953,0.8167538142778111,1.0044953503787029,0.9751037241223465,4
237,242,113,133,51,50,0.0555555555555555,0.0720486111111111,0.7848101265822786,0.7933884297520661,0.9294117647058824,0.9490196078431372,-5,-20,1,-0.016493055555555608,-0.008578303169787582,-0.019607843137254832,0.979338842934738,0.8496240600864944,1.019999999796,0.7710842303266218,0.9891877512451929,0.9793388326557272,4
235,242,111,131,49,50,0.0555555555555555,0.0703125,0.7914893617021277,0.7933884297520661,0.9215686274509804,0.9490196078431372,-7,-20,-1,-0.014756944444444503,-0.001899068049938446,-0.027450980392156765,0.9710743801251622,0.8473282442101275,0.979999999804,0.7901233444170248,0.9976063704047264,0.9710743699328941,4
230,238,107,129,50,47,0.0527777777777777,0.0715532286212914,0.782608695652174,0.8025210084033614,0.9019607843137256,0.9333333333333332,-8,-22,3,-0.018775450843513702,-0.019912312751187433,-0.03137254901960762,0.9663865545812442,0.8294573642767862,1.0638297870076958,0.7376015229319492,0.975187786619217,0.9663865442677074,4
224,235,100,121,48,48,0.0492424242424242,0.0650623885918003,0.7857142857142857,0.7957446808510639,0.8784313725490196,0.9215686274509804,-11,-21,0,-0.015819964349376103,-0.01003039513677817,-0.04313725490196085,0.9531914893211407,0.8264462809234342,0.9999999997916666,0.7568491987418081,0.987394945574754,0.9531914790185604,4
219,226,95,115,43,46,0.0492424242424242,0.0638888888888888,0.8036529680365297,0.7964601769911505,0.8588235294117647,0.8862745098039215,-7,-20,-3,-0.014646464646464602,0.007192791045379288,-0.027450980392156876,0.9690265486296891,0.8260869564499055,0.9347826084924385,0.7707508675030267,1.009030936088032,0.9690265377388598,4
211,221,90,109,45,43,0.0451807228915662,0.0617977528089887,0.7867298578199051,0.8054298642533936,0.8274509803921568,0.8666666666666667,-10,-19,2,-0.016617029917422498,-0.01870000643348846,-0.03921568627450989,0.9547511311785181,0.8256880733187443,1.046511627663602,0.7311061248481718,0.9767825641545481,0.9547511202053602,4
217,223,92,111,46,47,0.0448343079922027,0.0606060606060606,0.7880184331797234,0.7892376681614349,0.8509803921568627,0.8745098039215686,-6,-19,-1,-0.015771752613857902,-0.0012192349817115034,-0.02352941176470591,0.9730941703599509,0.8288288287541596,0.9787234040470801,0.7397659598099612,0.9984551612075189,0.9730941592762775,4
210,219,89,107,46,44,0.0436991869918699,0.06,0.780952380952381,0.7990867579908676,0.8235294117647058,0.8588235294117647,-9,-18,2,-0.016300813008130098,-0.018134377038486638,-0.03529411764705881,0.9589041095452555,0.8317757008568435,1.0454545452169421,0.7283196618112213,0.9773061102186916,0.9589040984237194,4
226,235,102,124,48,45,0.050561797752809,0.069298245614035,0.7876106194690266,0.8085106382978723,0.8862745098039215,0.9215686274509804,-9,-22,3,-0.018736447861225997,-0.020900018828845734,-0.03529411764705892,0.9617021276186509,0.8225806450949532,1.0666666664296296,0.7296258369679468,0.9741499646629939,0.9617021172240833,4
227,233,102,123,48,48,0.0502793296089385,0.0675675675675675,0.788546255506608,0.7939914163090128,0.8901960784313725,0.9137254901960784,-6,-21,0,-0.017288237958629,-0.005445160802404869,-0.02352941176470591,0.9742489269968133,0.8292682926155067,0.9999999997916666,0.7441339680804633,0.993142028210912,0.9742489163762457,4
